ssvid,year,shipname,callsign,imo,gfw_best_flag,best_vessel_class,prod_shiptype,prod_geartype
100000666,2024,SUQIYU12008-83-44%,NA,NA,NA,gear,gear,gear
100000666,2024,SUQIYU02596-54,78%,NA,NA,gear,gear,gear
100000666,2024,SUQIYU02596-54,NA,NA,NA,gear,gear,gear
100000666,2024,100000666         6V,NA,NA,NA,gear,gear,gear
100000666,2024,100000666         9V,NA,NA,NA,gear,gear,gear
100000666,2024,SGY02035-1-80%,NA,NA,NA,gear,gear,gear
100000666,2024,LZ60778-01-89%,91%,NA,NA,gear,gear,gear
100000666,2024,1,1234567,NA,NA,gear,gear,gear
100000666,2024,LZ60778-01-82%,82%,NA,NA,gear,gear,gear
100000666,2024,SUQIYU12008-83-54%,NA,NA,NA,gear,gear,gear
100000666,2024,1,NA,NA,NA,gear,gear,gear
100000666,2024,LZ60778-01-92%,92%,NA,NA,gear,gear,gear
100000666,2024,NA,NA,NA,NA,gear,gear,gear
100000666,2024,ZHEDAIYU06008-04,NA,NA,NA,gear,gear,gear
100000666,2024,SGY02035-1-68%,NA,NA,NA,gear,gear,gear
100000666,2024,SUQIYU12008-83-65%,NA,NA,NA,gear,gear,gear
100000666,2024,SUQIYU12008-83-56%,NA,NA,NA,gear,gear,gear
100000666,2024,LZ60778-01-97%,97%,NA,NA,gear,gear,gear
100000666,2024,100000666         8V,NA,NA,NA,gear,gear,gear
100000666,2024,SGY02035-1-74%,NA,NA,NA,gear,gear,gear
100000666,2024,SUQIYU12008-83-73%,NA,NA,NA,gear,gear,gear
100000666,2024,LZ60778-01-77%,77%,NA,NA,gear,gear,gear
100111004,2023,33818-12-81%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-74%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-48%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-76%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-63%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-93%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-83%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-86%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-69%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-89%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-99%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-67%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-92%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-79%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-54%,NA,NA,NA,gear,gear,gear
100111004,2023,33818-12-97%,NA,NA,NA,gear,gear,gear
