ssvid,year,shipname,callsign,imo,gfw_best_flag,best_vessel_class,prod_shiptype,prod_geartype,noisy_vessel
100902447,2023,1,NA,NA,NA,drifting_longlines,fishing,drifting_longlines,FALSE
109050289,2023,GRP BUOY 18         ,BO12345,NA,NA,dredge_non_fishing,other,other,FALSE
168800123,2019,FC166-04,11.8V,NA,NA,gear,discrepancy,inconclusive,FALSE
168800123,2019,FC166-04,12.4V,NA,NA,gear,discrepancy,inconclusive,FALSE
168800123,2019,FC166-04,10.7V,NA,NA,gear,discrepancy,inconclusive,FALSE
168800123,2019,FC166-04,12.0V,NA,NA,gear,discrepancy,inconclusive,FALSE
168800123,2019,FC166-04,12.2V,NA,NA,gear,discrepancy,inconclusive,FALSE
168800123,2019,FC166-04,12.1V,NA,NA,gear,discrepancy,inconclusive,FALSE
168800123,2019,FC166-04,10.8V,NA,NA,gear,discrepancy,inconclusive,FALSE
168800123,2019,FC166-04,NA,NA,NA,gear,discrepancy,inconclusive,FALSE
168800124,2019,FC166-05,11.6V,NA,NA,fishing,fishing,fishing,FALSE
168800124,2019,FC166-05,11.3V,NA,NA,fishing,fishing,fishing,FALSE
168800124,2019,FC166-05,10.9V,NA,NA,fishing,fishing,fishing,FALSE
168800124,2019,FC166-05,12.1V,NA,NA,fishing,fishing,fishing,FALSE
168800124,2019,FC166-05,11.8V,NA,NA,fishing,fishing,fishing,FALSE
168800124,2019,NA,NA,NA,NA,fishing,fishing,fishing,FALSE
168800124,2019,FC166-05,10.7V,NA,NA,fishing,fishing,fishing,FALSE
168800124,2019,FC166-05,NA,NA,NA,fishing,fishing,fishing,FALSE
168800124,2019,FC166-05,11.9V,NA,NA,fishing,fishing,fishing,FALSE
168800124,2019,FC166-05,11.2V,NA,NA,fishing,fishing,fishing,FALSE
168800124,2019,FC166-05,11.7V,NA,NA,fishing,fishing,fishing,FALSE
200021400,2023,NA,NA,NA,NA,drifting_longlines,fishing,drifting_longlines,FALSE
205097000,2023,FLANDERS INNOVATION,ONKT,9897547,BEL,tanker,other,other,FALSE
205717000,2024,LA TONDA,ONIY,9748485,BEL,cargo,cargo,cargo,FALSE
205763000,2023,ARAFURA,ONJV,9728708,BEL,tanker,other,other,FALSE
209243000,2022,PLATANOS,5BGU3,9592135,CYP,cargo,cargo,cargo,FALSE
209287000,2024,MY VISION,5BAB5,9729324,CYP,cargo,cargo,cargo,FALSE
209447000,2022,ADRIATICA GRAECA,P3HM9,9229635,CYP,cargo,cargo,cargo,FALSE
209736000,2023,LEM GERANIUM,5BJP5,9845790,CYP,cargo,cargo,cargo,FALSE
209748000,2024,NECKLACE,5BSN3,9548225,CYP,cargo,cargo,cargo,FALSE
209756000,2024,PANAGIA STENION,5BSR3,9592020,CYP,cargo,cargo,cargo,FALSE
209888000,2023,CAPE ALTIUS,5BLF5,9848730,CYP,cargo,cargo,cargo,FALSE
210063000,2023,NA,NA,NA,CYP,tanker,other,other,FALSE
210063000,2023,SUMMIT AFRICA,5BUH2,9550709,CYP,tanker,other,other,FALSE
210185000,2024,NA,NA,NA,CYP,cargo,cargo,cargo,FALSE
210185000,2024,ATLANTIS TRADE,5BTY3,9620994,CYP,cargo,cargo,cargo,FALSE
210266000,2023,KOULITSA 2,5BVK5,9639684,CYP,cargo,cargo,cargo,FALSE
210469000,2022,LITO,5BAU6,9337092,CYP,cargo_or_reefer,other,other,FALSE
210469000,2023,LITO,5BAU6,9337092,CYP,cargo_or_reefer,other,other,FALSE
210470000,2023,CLIMATE RESPECT,5BAW6,9932737,CYP,cargo,cargo,cargo,FALSE
210526000,2023,CLIMATE ETHICS,5BCP6,9942225,CYP,cargo,cargo,cargo,FALSE
210737000,2024,ANASTASIA,C4FP2,9292618,CYP,cargo,cargo,cargo,FALSE
210737000,2024,NA,NA,NA,CYP,cargo,cargo,cargo,FALSE
210786000,2023,UBC TOKYO,C4DT2,9300752,CYP,cargo,cargo,cargo,FALSE
210933000,2024,NA,NA,NA,CYP,cargo,cargo,cargo,FALSE
210933000,2024,NICOLEMY,5BAE4,9613094,CYP,cargo,cargo,cargo,FALSE
211577000,2023,SVENJA,DIJA2,9458901,DEU,cargo,cargo,cargo,TRUE
212089000,2024,SUCCESSOR,C4SZ2,9321158,CYP,cargo,cargo,cargo,FALSE
212089000,2024,NA,NA,NA,CYP,cargo,cargo,cargo,FALSE
212273000,2023,PANAYIOTA K,5BYU2,9455856,MHL,cargo,cargo,cargo,FALSE
212656000,2024,PANAGIA THALASSINI,5BNP4,9730335,CYP,tanker,other,other,FALSE
212719000,2024,TROODOS SUN,5BKB4,9698238,CYP,cargo,cargo,cargo,FALSE
212790000,2019,CSL ATLANTIC,5BVK4,9289544,DEU,cargo,cargo,cargo,FALSE
212790000,2019,NA,NA,NA,DEU,cargo,cargo,cargo,FALSE
212790000,2022,CSL ATLANTIC,5BVK4,9289544,DEU,cargo,cargo,cargo,FALSE
212951000,2023,ANIKITOS,5BHP4,9430806,CYP,cargo,cargo,cargo,FALSE
212972000,2023,ANDROMEDA,5BJD4,9705110,CYP,cargo,cargo,cargo,FALSE
215131000,2022,NA,NA,NA,MLT,cargo,cargo,cargo,FALSE
215131000,2022,CMA CGM LYRA,9HA4972,9410806,MLT,cargo,cargo,cargo,FALSE
215131000,2024,NA,NA,NA,MLT,cargo,cargo,cargo,FALSE
215131000,2024,CMA CGM LYRA,9HA4972,9410806,MLT,cargo,cargo,cargo,FALSE
215137000,2023,NA,NA,NA,MLT,cargo_or_tanker,other,other,FALSE
215137000,2023,CMA CGM J. MADISON,9HA4975,9780897,MLT,cargo_or_tanker,other,other,FALSE
215159000,2023,NA,NA,NA,MLT,cargo,cargo,cargo,FALSE
215159000,2023,CMA CGM SWORDFISH,9HA4988,9331000,MLT,cargo,cargo,cargo,FALSE
215164000,2022,CMA CGM ANDROMEDA,9HA4989,9410727,MLT,cargo_or_tanker,other,other,FALSE
215165000,2023,NA,NA,NA,MLT,cargo,cargo,cargo,FALSE
